customer 1 arrived at 0.0833333 minutes, 	waited for 0 minutes, 	and departed at 1.08333 minutes.
customer 2 arrived at 0.2 minutes, 	waited for 0 minutes, 	and departed at 1.2 minutes.
customer 3 arrived at 0.55 minutes, 	waited for 0 minutes, 	and departed at 1.55 minutes.
customer 4 arrived at 0.7 minutes, 	waited for 0 minutes, 	and departed at 1.7 minutes.
customer 5 arrived at 0.833333 minutes, 	waited for 0 minutes, 	and departed at 1.83333 minutes.
customer 6 arrived at 0.85 minutes, 	waited for 0 minutes, 	and departed at 1.85 minutes.
customer 7 arrived at 0.866667 minutes, 	waited for 0 minutes, 	and departed at 1.86667 minutes.
customer 8 arrived at 0.883333 minutes, 	waited for 0 minutes, 	and departed at 1.88333 minutes.
customer 9 arrived at 0.933333 minutes, 	waited for 0 minutes, 	and departed at 1.93333 minutes.
customer 10 arrived at 0.95 minutes, 	waited for 0 minutes, 	and departed at 1.95 minutes.
customer 11 arrived at 1.05 minutes, 	waited for 0.0333333 minutes, 	and departed at 2.08333 minutes.
customer 12 arrived at 1.16667 minutes, 	waited for 0.0333333 minutes, 	and departed at 2.2 minutes.
customer 13 arrived at 1.25 minutes, 	waited for 0.3 minutes, 	and departed at 2.55 minutes.
customer 14 arrived at 1.4 minutes, 	waited for 0.3 minutes, 	and departed at 2.7 minutes.
customer 15 arrived at 1.55 minutes, 	waited for 0.283333 minutes, 	and departed at 2.83333 minutes.
customer 16 arrived at 1.58333 minutes, 	waited for 0.266667 minutes, 	and departed at 2.85 minutes.
customer 17 arrived at 1.73333 minutes, 	waited for 0.133333 minutes, 	and departed at 2.86667 minutes.
customer 18 arrived at 1.76667 minutes, 	waited for 0.116667 minutes, 	and departed at 2.88333 minutes.
customer 19 arrived at 1.78333 minutes, 	waited for 0.15 minutes, 	and departed at 2.93333 minutes.
customer 20 arrived at 1.85 minutes, 	waited for 0.1 minutes, 	and departed at 2.95 minutes.
customer 21 arrived at 2.05 minutes, 	waited for 0.0333333 minutes, 	and departed at 3.08333 minutes.
customer 22 arrived at 2.05 minutes, 	waited for 0.15 minutes, 	and departed at 3.2 minutes.
customer 23 arrived at 2.06667 minutes, 	waited for 0.483333 minutes, 	and departed at 3.55 minutes.
customer 24 arrived at 2.15 minutes, 	waited for 0.55 minutes, 	and departed at 3.7 minutes.
customer 25 arrived at 2.15 minutes, 	waited for 0.683333 minutes, 	and departed at 3.83333 minutes.
customer 26 arrived at 2.36667 minutes, 	waited for 0.483333 minutes, 	and departed at 3.85 minutes.
customer 27 arrived at 2.43333 minutes, 	waited for 0.433333 minutes, 	and departed at 3.86667 minutes.
customer 28 arrived at 2.45 minutes, 	waited for 0.433333 minutes, 	and departed at 3.88333 minutes.
customer 29 arrived at 2.5 minutes, 	waited for 0.433333 minutes, 	and departed at 3.93333 minutes.
customer 30 arrived at 2.9 minutes, 	waited for 0.05 minutes, 	and departed at 3.95 minutes.
customer 31 arrived at 3.13333 minutes, 	waited for 0 minutes, 	and departed at 4.13333 minutes.
customer 32 arrived at 3.16667 minutes, 	waited for 0.0333333 minutes, 	and departed at 4.2 minutes.
customer 33 arrived at 3.25 minutes, 	waited for 0.3 minutes, 	and departed at 4.55 minutes.
customer 34 arrived at 3.26667 minutes, 	waited for 0.433333 minutes, 	and departed at 4.7 minutes.
customer 35 arrived at 3.28333 minutes, 	waited for 0.55 minutes, 	and departed at 4.83333 minutes.
customer 36 arrived at 3.4 minutes, 	waited for 0.45 minutes, 	and departed at 4.85 minutes.
customer 37 arrived at 3.48333 minutes, 	waited for 0.383333 minutes, 	and departed at 4.86667 minutes.
