customer 1 arrived at 0.35 minutes, 	waited for 0 minutes, 	and departed at 0.8 minutes.
customer 2 arrived at 0.383333 minutes, 	waited for 0 minutes, 	and departed at 0.85 minutes.
customer 3 arrived at 0.366667 minutes, 	waited for 0 minutes, 	and departed at 0.866667 minutes.
customer 4 arrived at 0.6 minutes, 	waited for 0 minutes, 	and departed at 0.9 minutes.
customer 5 arrived at 0.6 minutes, 	waited for 0 minutes, 	and departed at 0.916667 minutes.
customer 6 arrived at 0.366667 minutes, 	waited for 0 minutes, 	and departed at 0.933333 minutes.
customer 7 arrived at 0.55 minutes, 	waited for 0 minutes, 	and departed at 0.983333 minutes.
customer 8 arrived at 0.583333 minutes, 	waited for 0 minutes, 	and departed at 0.983333 minutes.
customer 9 arrived at 0.633333 minutes, 	waited for 0 minutes, 	and departed at 1.08333 minutes.
customer 10 arrived at 0.516667 minutes, 	waited for 0 minutes, 	and departed at 1.1 minutes.
customer 11 arrived at 1.38333 minutes, 	waited for 0 minutes, 	and departed at 1.8 minutes.
customer 12 arrived at 1.35 minutes, 	waited for 0 minutes, 	and departed at 1.81667 minutes.
customer 13 arrived at 1.43333 minutes, 	waited for 0 minutes, 	and departed at 1.88333 minutes.
customer 14 arrived at 1.48333 minutes, 	waited for 0 minutes, 	and departed at 1.93333 minutes.
customer 15 arrived at 1.51667 minutes, 	waited for 0 minutes, 	and departed at 1.96667 minutes.
customer 16 arrived at 1.43333 minutes, 	waited for 0 minutes, 	and departed at 1.96667 minutes.
customer 17 arrived at 1.43333 minutes, 	waited for 0 minutes, 	and departed at 2 minutes.
customer 18 arrived at 1.56667 minutes, 	waited for 0 minutes, 	and departed at 2.01667 minutes.
customer 19 arrived at 1.6 minutes, 	waited for 0 minutes, 	and departed at 2.08333 minutes.
customer 20 arrived at 1.65 minutes, 	waited for 0 minutes, 	and departed at 2.28333 minutes.
customer 21 arrived at 2.33333 minutes, 	waited for 0 minutes, 	and departed at 2.83333 minutes.
customer 22 arrived at 2.41667 minutes, 	waited for 0 minutes, 	and departed at 2.9 minutes.
customer 23 arrived at 2.38333 minutes, 	waited for 0 minutes, 	and departed at 2.9 minutes.
customer 24 arrived at 2.43333 minutes, 	waited for 0 minutes, 	and departed at 2.93333 minutes.
customer 25 arrived at 2.55 minutes, 	waited for 0 minutes, 	and departed at 2.98333 minutes.
customer 26 arrived at 2.45 minutes, 	waited for 0 minutes, 	and departed at 3.06667 minutes.
customer 27 arrived at 2.55 minutes, 	waited for 0 minutes, 	and departed at 3.08333 minutes.
customer 28 arrived at 2.58333 minutes, 	waited for 0 minutes, 	and departed at 3.1 minutes.
customer 29 arrived at 2.6 minutes, 	waited for 0 minutes, 	and departed at 3.21667 minutes.
customer 30 arrived at 2.58333 minutes, 	waited for 0 minutes, 	and departed at 3.21667 minutes.
customer 31 arrived at 3.48333 minutes, 	waited for 0 minutes, 	and departed at 3.81667 minutes.
customer 32 arrived at 3.41667 minutes, 	waited for 0 minutes, 	and departed at 3.95 minutes.
customer 33 arrived at 3.41667 minutes, 	waited for 0 minutes, 	and departed at 4.01667 minutes.
customer 34 arrived at 3.51667 minutes, 	waited for 0 minutes, 	and departed at 4.01667 minutes.
customer 35 arrived at 3.5 minutes, 	waited for 0 minutes, 	and departed at 4.05 minutes.
customer 36 arrived at 3.55 minutes, 	waited for 0 minutes, 	and departed at 4.08333 minutes.
customer 37 arrived at 3.58333 minutes, 	waited for 0 minutes, 	and departed at 4.11667 minutes.
customer 38 arrived at 3.51667 minutes, 	waited for 0 minutes, 	and departed at 4.15 minutes.
customer 39 arrived at 3.53333 minutes, 	waited for 0 minutes, 	and departed at 4.18333 minutes.
customer 40 arrived at 3.61667 minutes, 	waited for 0 minutes, 	and departed at 4.2 minutes.
customer 41 arrived at 4.3 minutes, 	waited for 0 minutes, 	and departed at 4.8 minutes.
customer 42 arrived at 4.35 minutes, 	waited for 0 minutes, 	and departed at 4.81667 minutes.
customer 43 arrived at 4.33333 minutes, 	waited for 0 minutes, 	and departed at 4.91667 minutes.
customer 44 arrived at 4.48333 minutes, 	waited for 0 minutes, 	and departed at 4.95 minutes.
customer 45 arrived at 4.56667 minutes, 	waited for 0 minutes, 	and departed at 5.01667 minutes.
customer 46 arrived at 4.46667 minutes, 	waited for 0 minutes, 	and departed at 5.01667 minutes.
customer 47 arrived at 4.6 minutes, 	waited for 0 minutes, 	and departed at 5.06667 minutes.
customer 48 arrived at 4.58333 minutes, 	waited for 0 minutes, 	and departed at 5.11667 minutes.
customer 49 arrived at 4.58333 minutes, 	waited for 0 minutes, 	and departed at 5.11667 minutes.
customer 50 arrived at 4.65 minutes, 	waited for 0 minutes, 	and departed at 5.15 minutes.
customer 51 arrived at 5.43333 minutes, 	waited for 0 minutes, 	and departed at 5.86667 minutes.
customer 52 arrived at 5.46667 minutes, 	waited for 0 minutes, 	and departed at 5.91667 minutes.
customer 53 arrived at 5.51667 minutes, 	waited for 0 minutes, 	and departed at 5.91667 minutes.
customer 54 arrived at 5.43333 minutes, 	waited for 0 minutes, 	and departed at 5.93333 minutes.
customer 55 arrived at 5.51667 minutes, 	waited for 0 minutes, 	and departed at 5.96667 minutes.
customer 56 arrived at 5.45 minutes, 	waited for 0 minutes, 	and departed at 5.96667 minutes.
customer 57 arrived at 5.55 minutes, 	waited for 0 minutes, 	and departed at 6.06667 minutes.
customer 58 arrived at 5.63333 minutes, 	waited for 0 minutes, 	and departed at 6.18333 minutes.
customer 59 arrived at 5.63333 minutes, 	waited for 0 minutes, 	and departed at 6.25 minutes.
customer 60 arrived at 5.46667 minutes, 	waited for 0 minutes, 	and departed at 6.33333 minutes.
customer 61 arrived at 6.48333 minutes, 	waited for 0 minutes, 	and departed at 6.78333 minutes.
customer 62 arrived at 6.33333 minutes, 	waited for 0 minutes, 	and departed at 6.81667 minutes.
customer 63 arrived at 6.36667 minutes, 	waited for 0 minutes, 	and departed at 6.85 minutes.
